dataset_name,model_type,error_bound,train_rmse,rmse,rmse_on_raw
lost_gorilla_v1,lr,0,0.1491687297821045,0.1339586350339802,0.1339586350339802
lost_gorilla_v1,lr,1,0.1521615386009216,0.1379364348616492,0.1370269896445032
lost_gorilla_v1,lr,2,0.1540820747613906,0.1363980555964501,0.1330944108837355
lost_gorilla_v1,lr,5,0.1542457938194275,0.1346030504057075,0.1345319151033319
lost_gorilla_v1,lr,10,0.1555597782135009,0.1365283103800876,0.136853296413449
lost_gorilla_v1,lr,25,0.1574989557266235,0.1429072426782444,0.1383679400399576
lost_gorilla_v1,lr,50,0.1588336080312729,0.1451356482387156,0.1361312718358452
lost_gorilla_v3_d5,lr,0,0.1586374044418335,0.1705438775634064,0.1657269467720727
lost_gorilla_v3_d5,lr,1,0.1680486649274826,0.1720212666712784,0.1684093080775594
lost_gorilla_v3_d5,lr,2,0.1826605349779129,0.1703394493193522,0.1425334295726363
lost_gorilla_v3_d5,lr,5,0.1842557936906814,0.1905487781738712,0.1445794796909869
lost_gorilla_v3_d5,lr,10,0.1902900487184524,0.2070551016083528,0.1504748084327786
lost_gorilla_v3_d5,lr,25,0.1879706382751464,0.1997644910266497,0.1510138432190264
lost_gorilla_v3_d5,lr,50,0.18419533967971802,0.1919158075683832,0.144207593326789
lost_gorilla_v3_d10,lr,0,0.1559724807739257,0.1481689702396695,0.1321958186163775
lost_gorilla_v3_d10,lr,1,0.1560548096895218,0.1608321544102198,0.1389686333878304
lost_gorilla_v3_d10,lr,2,0.1567011028528213,0.1423724670183522,0.1359581399820361
lost_gorilla_v3_d10,lr,5,0.147490844130516,0.13752326580686802,0.1345056124287676
lost_gorilla_v3_d10,lr,10,0.1393785029649734,0.1243222602387616,0.1336887464442398
lost_gorilla_v3_d10,lr,25,0.1376692205667495,0.1207953074251007,0.1333189660152485
lost_gorilla_v3_d10,lr,50,0.13558229804039,0.1210514765132325,0.1338896619903865
lost_gorilla_v3_d25,lr,0,0.1550413817167282,0.144151836207286,0.1333057947298128
lost_gorilla_v3_d25,lr,1,0.1497752964496612,0.1371956117892082,0.1360039271802873
lost_gorilla_v3_d25,lr,2,0.1434707045555114,0.1408839942128993,0.1338205912348974
lost_gorilla_v3_d25,lr,5,0.1419012546539306,0.1247583368643443,0.1350715158176376
lost_gorilla_v3_d25,lr,10,0.1367567330598831,0.1199227402584449,0.1330690260631822
lost_gorilla_v3_d25,lr,25,0.134864866733551,0.1180392881992003,0.1344524694866744
lost_gorilla_v3_d25,lr,50,0.1335390955209732,0.1173113905863085,0.1350570946001637
pmc,lr,0,0.1493149250745773,0.1340979676584705,0.1340979676584705
pmc,lr,1,0.1490782499313354,0.1338705180217997,0.133968511223898
pmc,lr,2,0.1489719003438949,0.1344035822787842,0.13446862946955998
pmc,lr,5,0.1488114148378372,0.1338272631602815,0.1338974510922315
pmc,lr,10,0.1482658982276916,0.1338071692965714,0.1343290801107401
pmc,lr,25,0.1481639742851257,0.1327324877216701,0.1338376389248495
pmc,lr,50,0.145747110247612,0.1251286119935377,0.1317945500191797
swing,lr,0,0.1492086201906204,0.1342513948323581,0.1342513948323581
swing,lr,1,0.1489494144916534,0.1332939970665502,0.1334214608150098
swing,lr,2,0.1489100903272628,0.1339740110934844,0.1343755704261263
swing,lr,5,0.1487940847873687,0.1325496148541665,0.1333858533748622
swing,lr,10,0.1466098725795745,0.1327870391141033,0.1356725881858914
swing,lr,25,0.1449461579322815,0.1238121738285452,0.1315938227555594
swing,lr,50,0.1435247808694839,0.10369580882432598,0.1130390123290333
swing,turbo_lstm,0,0.1424335241317749,0.1293031889396685,0.1293031889396685
swing,turbo_lstm,1,0.142748162150383,0.1287555963810926,0.1289381655901928
swing,turbo_lstm,2,0.1421388089656829,0.1283190870841503,0.1288694795260985
swing,turbo_lstm,5,0.1421536952257156,0.1279791204718401,0.1290296456390439
